       1       1  489.33
       1       2  454.82
       1       3  425.07
       1       4  450.10
       1       5  395.00
       2       1  412.83
       2       2  398.87
       2       3  408.87
       2       4  390.50
       2       5  375.70
       3       1  489.23
       3       2  458.98
       3       3  423.73
       3       4  410.25
       3       5  397.00
       4       1  549.21
       4       2  472.07
       4       3  451.57
       4       4  431.05
       4       5  419.70
       5       1  459.64
       5       2  428.10
       5       3  403.10
       5       4  393.53
       5       5  372.20
       6       1  467.09
       6       2  438.60
       6       3  393.33
       6       4  367.60
       6       5  417.90
       7       1  424.22
       7       2  381.28
       7       3  388.97
       7       4  385.84
       7       5  362.80
       8       1  377.05
       8       2  351.67
       8       3  346.20
       8       4  339.70
       8       5  343.60
