       3   0.099   42.49   369.9
       4   0.168   37.97   425.2
       5   0.245   33.69   469.7
       6   0.296   30.12   507.4
       7    0.39   27.36   540.3
       8   0.511   24.66   568.8
       9   0.672   23.06   595.7
      10   0.863   21.23   618.4
      11     1.1   19.66   638.8
      12    1.39   18.24   658.2
      13    1.72   17.23   675.8
      14    2.11   16.21   692.4
      15    2.56    15.2   706.8
      16    3.06   14.19   720.6
      17    3.61   13.17   733.4
