      24    2.70    7.90
      24    2.70    7.86
      24    2.70    7.85
      24    2.70    7.91
      24    2.74    7.38
      24    2.74    7.32
      24    2.74    7.37
      24    2.74    7.33
      24    2.80    7.30
      24    2.80    7.22
      24    2.80    7.23
      24    2.80    7.25
      24    2.90    7.18
      24    2.90    7.23
      24    2.90    7.17
      24    2.90    7.20
      26    2.70    7.35
      26    2.70    7.29
      26    2.70    7.38
      26    2.70    7.38
      26    2.72    7.18
      26    2.72    7.20
      26    2.72    7.25
      26    2.72    7.15
      26    2.78    6.44
      26    2.78    6.48
      26    2.78    6.42
      26    2.78    6.46
      26    2.90    6.29
      26    2.90    6.23
      26    2.90    6.23
      26    2.90    6.25
      26    2.94    5.33
      26    2.94    5.26
      26    2.94    5.31
      26    2.94    5.30
      30    2.68    6.60
      30    2.68    6.52
      30    2.68    6.51
      30    2.68    6.57
      30    2.77    6.20
      30    2.77    6.28
      30    2.77    6.28
      30    2.77    6.24
      30    2.80    5.71
      30    2.80    5.81
      30    2.80    5.81
      30    2.80    5.75
      30    2.84    5.47
      30    2.84    5.44
      30    2.84    5.49
      30    2.84    5.42
      30    2.96    5.17
      30    2.96    5.23
      30    2.96    5.22
      30    2.96    5.18
