    10.6     204
    13.1     155
    11.4     206
    11.2     363
     9.8     235
    12.8     269
    12.4      67
    12.0     144
    10.3      48
    13.1     247
    20.8     190
    13.5     228
    24.3      63
    30.0      87
    32.0     114
    18.2     176
    16.4     107
    19.7     190
    17.1     136
    16.9     106
    19.9     258
    11.0     224
     7.8     324
     6.8     437
     6.8     221
    13.6     327
    11.0     235
    14.5      51
     8.0     172
    10.8     132
     5.7     341
     9.8     206
    10.0     200
    14.5     130
     8.5     267
     8.8     121
    15.9      75
    12.5     176
    27.5     127
    30.0      88
    17.0     216
    13.1     186
    10.5     186
    25.6     157
    22.7      39
    18.0      39
    25.0      39
    11.5     245
    17.5      39
    19.0      78
    20.0     108
