       1       1       0       1    62.7    62.5    56.9
       1       1       0       3    31.5    47.8      -1
       1       1       0       5    20.2      36      -1
       1       1       0       7    15.6    26.5      -1
       1       1       0       9    13.3    19.5    24.8
       1       2       0       1    34.8    30.8    31.0
       1       2       0       3    15.9    21.3      -1
       1       2       0       5    10.1    15.6      -1
       1       2       0       7     7.4    11.6    10.5
       1       2       0       9       6     8.3      -1
       1       3       0       1    61.5    62.6    58.8
       1       3       0       3      37    50.3      -1
       1       3       0       5    27.6    40.6      -1
       1       3       0       7    22.1    32.2    31.7
       1       3       0       9    18.5    25.7      -1
       1       4       0       1    35.7    41.8      -1
       1       4       0       3    20.5    32.3    20.1
       1       4       0       5    15.2    26.1      -1
       1       4       0       7    12.6    19.5    14.9
       1       4       0       9      11    14.9      -1
       1       5       0       1    84.9    83.7    78.3
       1       5       0       3    63.8    71.8      -1
       1       5       0       5    49.3    61.1      -1
       1       5       0       7    38.9    52.5      -1
       1       5       0       9    31.3    44.6    48.2
       2       6       1       5    74.6    85.7      -1
       2       6       2       5    46.8    68.3      -1
       2       6       3       5    43.6    65.2      -1
       2       6       4       5    88.4    86.9      -1
       2       6       5       5    44.8    68.2      -1
       2       7       6       5    14.5    36.1      -1
       2       7       7       5     5.4      20      -1
       2       7       8       5     3.7    15.5      -1
       2       7       9       5    54.3    57.2      -1
       2       7      10       5      26    52.1      -1
       2       8      11       5    87.2      88    86.8
       2       8      12       5      48    52.6    49.1
       2       8      13       5     5.6    28.2    15.8
       2       8      14       5     9.7    23.6    17.2
       2       8      15       5    59.9      63    64.1
       2       9      16       5    65.3    69.3      -1
       2       9      17       5       2    11.1      -1
       2       9      18       5    27.1      24      -1
       2       9      19       5    16.8    18.9      -1
       2       9      20       5      12    24.7      -1
       2      10      21       5    83.8    82.9      -1
       2      10      22       5      53    69.9      -1
       2      10      23       5     6.3    28.2      -1
       2      10      24       5     7.3      23      -1
       2      10      25       5    12.8    27.2      -1
       3      11      26       1    41.2    38.5      -1
       3      11      26       3    17.9    24.6      -1
       3      11      26       5      12    17.3      -1
       3      11      26       7       9    12.3      -1
       3      11      26       9     7.2     7.5      -1
       3      11      27       1    36.2    36.6    31.5
       3      11      27       3    11.8    24.1    19.1
       3      11      27       5       6    16.7    12.5
       3      11      27       7     3.5      12    11.9
       3      11      27       9     2.3     7.3    11.8
       3      11      28       1    89.5      85      -1
       3      11      28       3    74.2    74.1      -1
       3      11      28       5    63.1    63.4      -1
       3      11      28       7    54.8      57      -1
       3      11      28       9    48.4    50.3      -1
       3      11      29       1    93.1    94.6      -1
       3      11      29       3      89    87.8      -1
       3      11      29       5    85.5    81.1      -1
       3      11      29       7    82.4    76.4      -1
       3      11      29       9    79.6    71.9      -1
       3      11      30       1    73.2    61.5    49.1
       3      11      30       3    43.4    48.6    34.4
       3      11      30       5    27.5    38.4    26.7
       3      11      30       7    18.9    29.5    22.8
       3      11      30       9      14    23.4    21.9
