       1       1       1  0.1240  0.1107  0.0133
       1       2       1  0.1041  0.1107 -0.0066
       1       3       1  0.1141  0.1107  0.0034
       1       4       1  0.1196  0.1107  0.0089
       1       5       1  0.1116  0.1107  0.0009
       1       6       1  0.1041  0.1107 -0.0066
       1       7       1  0.1083  0.1107 -0.0024
       1       8       1  0.1126  0.1107  0.0019
       1       9       1  0.1080  0.1107 -0.0027
       1      10       1  0.1006  0.1107 -0.0101
       2       1       0  0.1109  0.1130 -0.0021
       2       2       0  0.1114  0.1130 -0.0016
       2       3       0  0.1119  0.1130 -0.0011
       2       4       0  0.1124  0.1130 -0.0006
       2       5       0  0.1128  0.1130 -0.0002
       2       6       0  0.1133  0.1130  0.0003
       2       7       0  0.1138  0.1130  0.0008
       2       8       0  0.1143  0.1130  0.0013
       2       9       0  0.1148  0.1130  0.0018
       2      10       0  0.1143  0.1130  0.0013
       3       1       0  0.0752  0.0765 -0.0013
       3       2       0  0.0756  0.0765 -0.0009
       3       3       0  0.0758  0.0765 -0.0007
       3       4       0  0.0761  0.0765 -0.0004
       3       5       0  0.0764  0.0765 -0.0001
       3       6       0  0.0766  0.0765  0.0001
       3       7       0  0.0769  0.0765  0.0004
       3       8       0  0.0772  0.0765  0.0007
       3       9       0  0.0774  0.0765  0.0009
       3      10       0  0.0777  0.0765  0.0012
       4       1       1  0.1178  0.1202 -0.0024
       4       2       1  0.1180  0.1202 -0.0022
       4       3       1  0.1161  0.1202 -0.0041
       4       4       1  0.1260  0.1202  0.0058
       4       5       1  0.1174  0.1202 -0.0028
       4       6       1  0.1178  0.1202 -0.0024
       4       7       1  0.1141  0.1202 -0.0061
       4       8       1  0.1234  0.1202  0.0032
       4       9       1  0.1288  0.1202  0.0086
       4      10       1  0.1225  0.1202  0.0023
       5       1       0  0.1097  0.1083  0.0014
       5       2       0  0.1094  0.1083  0.0011
       5       3       0  0.1091  0.1083  0.0008
       5       4       0  0.1088  0.1083  0.0005
       5       5       0  0.1085  0.1083  0.0002
       5       6       0  0.1081  0.1083 -0.0002
       5       7       0  0.1078  0.1083 -0.0005
       5       8       0  0.1075  0.1083 -0.0008
       5       9       0  0.1072  0.1083 -0.0011
       5      10       0  0.1069  0.1083 -0.0014
       6       1       0  0.0701  0.0687  0.0014
       6       2       0  0.0698  0.0687  0.0011
       6       3       0  0.0694  0.0687  0.0007
       6       4       0  0.0691  0.0687  0.0004
       6       5       0  0.0688  0.0687  0.0001
       6       6       0  0.0685  0.0687 -0.0002
       6       7       0  0.0683  0.0687 -0.0004
       6       8       0  0.0680  0.0687 -0.0007
       6       9       0  0.0676  0.0687 -0.0011
       6      10       0  0.0673  0.0687 -0.0014
       7       1       1  0.1070  0.1087 -0.0017
       7       2       1  0.1082  0.1087 -0.0005
       7       3       1  0.1083  0.1087 -0.0004
       7       4       1  0.1084  0.1087 -0.0003
       7       5       1  0.1087  0.1087  0.0000
       7       6       1  0.1090  0.1087  0.0003
       7       7       1  0.1094  0.1087  0.0007
       7       8       1  0.1090  0.1087  0.0003
       7       9       1  0.1095  0.1087  0.0008
       7      10       1  0.1096  0.1087  0.0009
       8       1       1  0.0932  0.0851  0.0081
       8       2       1  0.0923  0.0851  0.0072
       8       3       1  0.0716  0.0851 -0.0135
       8       4       1  0.0749  0.0851 -0.0102
       8       5       1  0.0783  0.0851 -0.0068
       8       6       1  0.0816  0.0851 -0.0035
       8       7       1  0.0850  0.0851 -0.0001
       8       8       1  0.0881  0.0851  0.0030
       8       9       1  0.0915  0.0851  0.0064
       8      10       1  0.0945  0.0851  0.0094
       9       1       1  0.1173  0.1191 -0.0018
       9       2       1  0.1177  0.1191 -0.0014
       9       3       1  0.1181  0.1191 -0.0010
       9       4       1  0.1185  0.1191 -0.0006
       9       5       1  0.1189  0.1191 -0.0002
       9       6       1  0.1193  0.1191  0.0002
       9       7       1  0.1197  0.1191  0.0006
       9       8       1  0.1201  0.1191  0.0010
       9       9       1  0.1205  0.1191  0.0014
       9      10       1  0.1209  0.1191  0.0018
