       1       1    2.72    1.42
       2       1    0.87    0.84
       3       2    3.16    2.32
       4       3    1.59    1.84
       5       4    2.38    2.40
       6       4    0.95    0.90
       7       5    1.61    1.49
       8       5    0.72    0.87
       9       6    1.16    1.36
      10       7    1.52    1.25
      11       7    1.36    1.25
      12       8    0.86    1.80
      13       9    0.12    0.86
      14       9    0.08    0.04
      15      10    0.26    0.49
      16      10    1.80    2.08
      17      11    0.48    0.58
      18      11    0.74    0.22
      19      12    0.06    0.06
      20      12    1.42    1.70
      21      13    1.18    2.67
      22      13    1.62    2.39
      23      13    2.34    2.32
      24      14    3.16    2.98
      25      14    3.37    3.21
      26      15    1.72    1.99
      27      16    0.82    1.30
      28      16    1.62    1.25
      29      17    1.46    1.76
      30      17    1.33    1.67
      31      18    1.29    1.36
      32      18    1.25    1.57
      33      19    1.14    1.21
      34      20    1.23    1.24
      35      20    1.72    1.62
      36      21    0.72    0.93
      37      21    1.57    1.32
      38      22    0.71    0.86
      39      23    1.38    1.48
      40      24    0.85    0.85
      41      25    1.24    1.23
      42      25    1.29    1.23
      43      26    1.96    2.14
