SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
232,GRANDFALLS 3 SSE,2440,31.3,102.83,43.8,49.2,57.3,65.7,74.5,82,84,82.3,75.9,65.9,53.6,44.9,64.9
234,GRANGER DAM,565,30.7,97.33,47.1,51.1,59.1,66.3,73.7,79.9,83.3,83.3,78.1,68.4,57.5,49.3,66.4
235,GRAPEVINE DAM,585,32.95,97.05,42.4,47.6,55.6,63.3,71.6,79.4,84,83.4,76.5,65.9,54.2,45.4,64.1
236,GREENVILLE KGVL RADIO,545,33.17,96.1,41.7,46.5,54.2,61.9,70.3,78.3,82.7,82.3,75.6,64.9,53.1,44.4,63
237,GROVETON,350,31.07,95.13,49,53.3,60,66.3,73.7,79.9,83.1,82.6,77.4,68.2,58,50.4,66.8
238,GRUVER,3170,36.25,101.4,32.3,37.2,45.3,54.6,63.8,73.9,78.3,76.6,68.7,56.9,43,33.9,55.4
240,GUTHRIE,1740,33.62,100.32,38.8,44,52,61,70.1,78,82.3,80.8,73.3,62.6,49.6,40.4,61.1
242,HALLETTSVILLE 2 N,275,29.47,96.95,52.7,56.4,63.4,69.2,76,81.1,83.7,83.7,79.6,71.5,61.9,54.5,69.5
243,HAMILTON 1 NW,1260,31.72,98.15,45.1,49.8,57,64,71.8,78.8,82.8,81.9,75.4,66.3,55,47.2,64.6
246,HARLINGEN,38,26.2,97.67,58.6,62.1,68.8,73.7,79.3,83,84.4,84.5,81.3,74.8,67.2,60.4,73.2
248,HART,3640,34.37,102.08,35.4,40.1,47.3,55.9,65,73.5,76.6,74.5,68.1,58,45.3,37.3,56.4
250,HASKELL,1600,33.15,99.75,41.5,46.6,54.9,63.8,72.7,80,84.4,83.3,75.8,65.4,52.8,43.9,63.8
252,HEBBRONVILLE,580,27.32,98.68,55.9,60,67.6,73.6,79.7,83.9,85.4,85.3,81.3,73.6,64.8,57.3,72.4
253,HENDERSON,420,32.18,94.8,44.4,48.8,55.9,62.8,70.9,78,81.9,81.4,75.3,65.1,54.5,46.8,63.8
254,HENRIETTA,930,33.82,98.2,39,44.2,52.7,61.1,69.7,77.7,82.9,81.9,74.3,63.5,51.1,42.1,61.7
255,HEREFORD,3820,34.82,102.4,35.5,39.9,47.3,55.7,65,74,77.6,75.7,68.5,57.7,44.9,36.6,56.5
257,HICO,1025,31.98,98.03,43.5,47.9,55.2,63.3,70.9,78.5,82.1,81.8,75.1,65.1,53.6,45.4,63.5
259,HILLSBORO,550,32.02,97.12,46.3,51.4,59.1,65.9,73.4,80.2,84.1,84,77.9,68.3,56.9,48.6,66.3
260,HONDO AP                       HDO,920,29.37,99.17,50.3,54.9,62.2,68.7,75.7,81,83.1,82.9,78.6,70,59.3,52,68.2
262,HORDS CREEK DAM,1942,31.85,99.57,42.5,47.5,55.4,63.4,71.1,77.7,81.2,80.5,74,64.6,52.9,44.5,62.9
263,HOUSTON BUSH INTL AP           IAH,95,30,95.37,51.8,55.4,62.3,68.5,75.8,81.3,83.6,83.3,78.9,70.4,60.9,53.7,68.8
264,HOUSTON HOBBY AP               HOU,44,29.65,95.28,54.3,57.7,64.2,70,77,82.3,84.5,84.4,80.5,72.2,63,56.1,70.5
271,HOUSTON SAN JACINTO DAM,58,29.92,95.15,51.3,54.3,61.2,67.5,74.8,80.2,82.8,82.8,78.9,69.5,60.5,53.1,68.1
274,HUDSPETH RIVER RANCH,1630,29.98,101.18,47.9,52.2,60.8,68.1,76,81.7,84,83.4,78.1,68.7,57.5,49,67.3
277,HUNTSVILLE,494,30.72,95.55,48.5,52.7,60.2,66.9,74.2,80.2,83.2,82.8,77.6,68.8,58.7,50.8,67.1
281,JACKSBORO,1100,33.23,98.15,41.4,46.5,54.2,62.7,70.8,78.9,83.4,82.6,75.2,64.9,52.6,44.1,63.1
282,JACKSONVILLE,560,31.97,95.27,46.2,50.4,57.6,65.2,72.9,79.4,83.1,82.4,76.8,67.3,56,48.6,65.5
285,JAYTON,2010,33.25,100.57,39.4,44.4,52.3,61.4,70.3,78.2,82.4,80.8,73.3,62.9,50.1,41.3,61.4
287,JEFFERSON,199,32.77,94.33,43.1,47.7,56.1,62.9,71.2,78.2,82,81.4,74.9,63.8,53.5,45.7,63.4
288,JEWETT,510,31.35,96.15,48.6,52.7,60.3,66.5,73.6,79.6,82.9,83.2,77.6,68.7,58.3,50.6,66.9
290,JOHNSON CITY,1232,30.28,98.42,47,51.3,58.7,65.7,73.2,79.6,83,82.8,77.5,68,57.4,49.3,66.1
292,JUNCTION 4 SSW                 JCT,1747,30.45,99.8,45.2,50,57.5,65,72.8,79.1,81.6,80.8,75.4,65.8,54.2,46.8,64.5
294,KARNES CITY 2 N,450,28.9,97.88,52,55.7,62.7,68.9,75.9,81.3,83.6,83.6,79.2,71.3,61.3,54,69.1
296,KAUFMAN 3 SE,420,32.57,96.27,43.2,48.1,55.7,63,71.3,78.9,83.5,83.3,76.7,66,54.3,45.6,64.1
297,KENT 8 SE,4860,31,104.12,43.2,47.2,53.4,60.9,69,75.7,76.5,74,69.2,61.8,51.5,44.4,60.6
298,KERRVILLE 3 NNE,1782,30.07,99.12,45.3,49.7,57.3,64.4,71.7,77.7,80.5,80.1,74.9,65.6,55.1,47.3,64.1
299,KILLEEN 3 S                    ILE,910,31.07,97.73,46,50.4,57.6,65.5,72.8,79.9,83.5,83.5,77.3,68,56.2,48.2,65.7
300,KINGSVILLE,66,27.52,97.87,55.9,59.4,65.9,72,77.6,82.3,84.3,84.4,81,73.5,64.7,58,71.6
301,KINGSVILLE NAAS,56,27.5,97.82,57.1,60.8,67.6,73.1,79.2,83.5,85.2,85.1,81.5,74.6,65.8,58.6,72.7
305,LA GRANGE,357,29.92,96.88,52,55.8,62.9,69.1,76,81.6,84.5,84.4,79.4,71.2,61.1,53.6,69.3
306,LA PRYOR,759,28.98,99.87,51.4,56.3,64.2,71.2,77.8,83.1,85.5,85.3,80.6,71.5,61.5,53.1,70.1
307,LA TUNA 1 S,3800,31.97,106.6,44.7,49.7,56.1,63,71.6,80.4,82.7,80.5,75.3,64.8,52.5,44.6,63.8
308,LAJITAS,2440,29.27,103.8,52.1,58,65,72.6,80.6,87,87.1,85.4,81.2,71.7,59.8,52.7,71.1
310,LAKE COLORADO CITY,2100,32.33,100.92,42.1,47.3,55.3,63.4,72.3,79,82.2,81.2,74.5,64.8,53,44,63.3
311,LAKE FORK RESERVOIR,414,32.82,95.53,40.4,44.9,52.9,60.3,69,76.6,80.6,80,73.7,63,51.5,43,61.3
312,LAKE KEMP,1167,33.75,99.15,39.9,45.2,53.7,63,71.8,80,84.9,83.7,75.8,65.1,52.2,42.6,63.2
313,LAMESA 1 SSE,2965,32.72,101.95,40.1,45,52.2,60.2,69.5,76.8,79.7,78.2,71.9,62.3,50.2,42.1,60.7
314,LAMPASAS,1032,31.07,98.18,44.1,48.5,56.3,63.9,71.9,78.8,82.4,81.8,75.7,65.7,54.4,46.1,64.1
315,LANGTRY,1290,29.8,101.57,47.4,52.7,61.7,70.2,78.3,83.8,86.1,85.7,79.9,69.5,57.5,48.6,68.5
316,LAREDO 2,430,27.57,99.5,55.6,60.6,68.9,76,82.6,86.9,88.5,87.9,83.2,75.1,65.1,57,74
317,LAVON DAM,510,33.03,96.48,42.1,47.3,55.2,62.9,71,78.5,82.8,82.6,76.2,65.7,53.8,45.1,63.6
320,LEVELLAND,3550,33.57,102.38,38.6,43.2,50.2,58.8,68.1,76.2,78.6,76.8,70.3,60.3,48.1,40.2,59.1
322,LEXINGTON,465,30.42,97.02,48.4,52.4,59.8,66.1,73.6,79.9,83.1,83.1,78.1,69,58.8,50.7,66.9
323,LIBERTY,35,30.07,94.8,50.7,54.3,60.6,66.8,74.1,79.7,82.5,82.6,77.9,69,59.6,52.8,67.6
327,LIPSCOMB,2450,36.23,100.27,31.8,36.9,45.4,55,64.5,74.3,79.7,78.2,69.7,57.6,43.5,34.1,55.9
328,LITTLEFIELD 2 NW,3505,33.93,102.35,37.9,42.5,49.5,57.7,67.2,75.4,78.2,76.1,69.7,59.6,47.5,39.4,58.4
329,LIVINGSTON 2 NNE,178,30.73,94.93,47.6,51.2,58.4,64.9,72.8,79.1,82.3,81.8,76.6,67,57.3,49.6,65.7
330,LLANO,1020,30.75,98.65,46,50.3,58.1,65.4,73.3,80,83.7,83,76.9,67.2,55.9,47.8,65.6
332,LONGVIEW,330,32.47,94.73,45.4,49.8,57.1,64.2,72.6,79.5,83.4,82.6,76.8,66.2,55.5,47.5,65.1
333,LONGVIEW 11 SE,407,32.35,94.65,46.8,51.2,58.6,65.4,73.2,79.9,83.5,82.8,76.6,67,56.3,49,65.9
336,LOVELADY,302,31.13,95.45,47.1,51,58.4,65.4,73.1,79.4,82.9,82.7,77.5,67.4,56.8,49.1,65.9
337,LUBBOCK RGNL AP                LBB,3254,33.67,101.82,38.1,43.3,51.2,60,69.2,77.1,79.8,78,70.9,60.7,48.1,39.7,59.7
339,LUFKIN ANGELINA CO AP          LFK,288,31.23,94.75,48.6,52.9,59.8,66.2,73.7,79.7,82.6,82.2,77.3,67.7,57.7,50.3,66.6
341,LULING,400,29.68,97.65,49.2,53.4,61,67.2,74.7,80.9,83.8,83.7,78.6,69.7,59.2,51.3,67.7
342,LYTLE 3 W,722,29.23,98.85,52,56.3,63.4,69.5,75.8,80.8,83.1,83,78.8,70.9,60.6,53.5,69
343,MADISONVILLE,252,30.95,95.92,48,52,59,66.2,74.2,80.4,83.6,83.4,78,68.4,57.4,50,66.7
344,MARATHON,4055,30.22,103.23,44.9,48.1,54.9,61.9,69.9,75.5,76.6,75.8,70.8,62.9,53,46.4,61.7
345,MARFA # 2,4760,30.3,104.02,41.5,45.2,51.4,58.6,67.3,74,74.5,73.1,68.1,59.9,49.3,42.3,58.8
346,MARLIN 3 NE,388,31.33,96.85,48.8,53.4,60.6,67.1,74.3,80.7,84.2,84.2,79,69.7,58.7,50.7,67.6
347,MARSHALL,352,32.53,94.35,43.8,48.5,56.3,63.2,71.1,78.2,81.9,81.5,75.4,64.3,54.1,46.2,63.7
