SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
451,PRADE RANCH,2052,29.92,99.77,45.3,49.1,56.7,63.9,71.3,77.2,79.6,79,73.8,64.2,53.9,46.3,63.4
452,PRESIDIO,2560,29.55,104.35,51.8,57.4,64.4,71.8,80.1,86.9,87.3,85.7,80.8,71.7,59.8,52.4,70.8
453,PROCTOR RESERVOIR,1221,31.97,98.5,43.9,48.7,56.8,64.4,72.3,79.3,83,82.4,75.9,66.3,54.9,46.4,64.5
454,PUTNAM,1591,32.37,99.18,43.2,48.4,55.7,64.3,72.2,79.4,83.3,82.7,75.7,66.1,54.1,45.3,64.2
455,QUANAH 5 SE,1495,34.25,99.68,38.4,43.6,52.3,61.2,70.5,79.3,83.9,82.1,74,62.8,50.1,40.8,61.6
458,RAYMONDVILLE,31,26.48,97.82,58.1,61.4,68.3,73.6,78.9,82.7,84.5,84.7,81.1,74.6,66.6,59.5,72.8
460,RED BLUFF DAM,2800,31.9,103.93,45.6,50.6,57.9,65.8,74.4,82,83.7,81.9,75.5,65.9,54.2,46.5,65.3
461,RED ROCK,520,29.97,97.45,47.5,51.6,59.5,66.5,73.9,80,82.9,82.8,77.3,68.4,57.8,49.7,66.5
462,REFUGIO,49,28.3,97.28,56.1,59.3,65.7,70.5,77,81.8,83.9,83.7,80.2,72.5,63.9,57.3,71
463,REFUGIO 7 N,54,28.38,97.28,55,58.4,65.2,70.5,76.7,81.5,83.7,83.7,80.1,72.5,64,56.6,70.7
470,RIO GRANDE CITY 1 SE,172,26.38,98.82,57,61.2,69,75.4,81,85.1,86.7,86.7,82.4,74.7,66,58.3,73.6
472,RISING STAR 1 S,1633,32.08,98.97,42.4,47.3,55.1,63.2,71.5,78.2,81.9,81.3,74.8,65,53.4,44.8,63.2
474,ROBERT LEE,1780,31.9,100.48,43.2,48.2,56.2,64.7,73.6,80.6,84.2,83.1,76.1,65.9,53.7,45.1,64.6
475,ROBSTOWN,85,27.78,97.67,55.5,59.1,66.3,72.3,78,82.8,84.9,85.1,81.5,74,65.4,57.6,71.9
477,ROCKPORT,9,28.03,97.05,54,57,63.4,70.1,76.7,82,83.8,83.8,80.7,73.5,63.9,56.4,70.4
478,ROCKSPRINGS,2400,30.02,100.22,46.6,50.9,57.3,64.9,72,77,79.9,79.5,74.8,66.1,55.3,47.8,64.3
481,ROSCOE,2380,32.45,100.53,41.9,47,54.2,63.3,71.6,78.5,81.8,80.6,73.5,63.9,52.2,43.6,62.7
484,ROTAN,1935,32.85,100.47,41.3,46.2,53.4,62.2,70.7,77.9,81.7,80.6,73.6,63.3,51.3,42.9,62.1
488,RUSK,720,31.82,95.15,46.2,50.6,58,64.7,72.3,78.9,82.6,82.5,77.1,67.5,57,48.8,65.5
490,SAM RAYBURN DAM,189,31.07,94.1,46.4,50.5,58.3,64.8,73.1,79.5,82.3,81.8,77,66.7,56.6,49,65.5
491,SAN ANGELO MATHIS AP           SJT,1916,31.35,100.5,44.9,49.7,57.2,65,73.1,79.2,82.4,81.3,74.8,65.4,54,46.4,64.5
492,SAN ANTONIO INTL AP            SAT,809,29.53,98.47,50.3,54.7,62.1,68.6,75.8,81.5,84.3,84.2,79.4,70.7,60,52.4,68.7
494,SAN MARCOS,612,29.87,97.92,49.9,53.9,61.6,68.2,75.6,81.5,84.4,84.4,79.7,70.5,59.9,52.1,68.5
495,SAN SABA,1195,31.18,98.72,46.1,50.8,58.7,66,73.7,80,83.6,82.7,77,67.4,56.3,47.9,65.9
496,SANDERSON,2855,30.15,102.4,45.3,49.6,57.4,65.2,73.3,78.7,80.4,79.5,74,64.2,53.9,46.6,64
497,SANTA ROSA 3 WNW,50,26.27,97.87,58.3,62.5,69.4,74.2,79.8,83.8,85.3,85.1,81.3,74.9,67.7,60.3,73.6
500,SEALY,194,29.78,96.13,51.4,54.9,61.8,68.1,75.3,81,83.6,83.5,78.9,70.6,60.5,53.3,68.6
501,SAN ANTONIO SEAWORLD,940,29.45,98.7,51,55.3,62.7,68.8,75.5,80.9,83.5,83.6,79.2,71.1,60.3,52.9,68.7
502,SEMINOLE,3340,32.72,102.55,40.9,45.7,52.7,61.1,70.3,78,80.6,78.8,72.4,62.4,50.2,42.3,61.3
503,SEYMOUR,1287,33.6,99.27,40.2,45.2,53.7,62.2,71.1,79.3,84.2,83.2,75.2,64.4,51.4,42.5,62.7
504,SHAMROCK 2,2360,35.22,100.25,35.7,40.8,48.5,57.8,66.7,75.6,80.8,79.2,71.2,59.9,46.8,37.8,58.4
505,SHEFFIELD,2170,30.68,101.83,46,50.9,59.4,66.6,75.2,81.4,83.6,82.5,76.2,66.1,54.7,46.8,65.8
506,SHERMAN,760,33.7,96.63,41.5,46.7,54.8,62.5,70.3,78.2,82.8,82.2,75.1,64.8,52.9,44,63
507,SIERRA BLANCA 2 E,4535,31.18,105.32,41.2,45.8,51.8,59,68.4,76.4,77.5,75.6,70,60.5,49.3,41.6,59.8
508,SILVERTON,3280,34.47,101.3,35.8,40.5,47.6,55.9,65.1,74,78.1,76.2,69.1,58.7,45.7,37.5,57
510,SINTON,51,28.03,97.5,54.1,57.4,64.3,69.8,76,81.4,83.4,83.5,79.6,72.2,63.1,56,70.1
513,SMITHVILLE,340,30.02,97.15,49,52.8,60.4,67.6,74.7,81,83.9,83.9,78.6,69.5,59,51,67.6
514,SNYDER,2335,32.72,100.92,40.8,45.7,53.6,62.1,71.1,78.4,81.8,80.2,73.4,63.5,51,42.5,62
515,SOMERVILLE DAM,263,30.33,96.53,48.6,52.7,60.2,67.5,75.2,81.8,85,84.7,79.1,69.5,59,51,67.9
516,SONORA,2138,30.58,100.65,43.1,48.3,55.5,64.4,72.8,78.8,81.4,80.4,74.2,64.2,53.4,44.6,63.4
518,SPEARMAN,3094,36.18,101.18,37.6,42.5,50.3,58.8,67.4,76.4,80.7,79.2,72,61.3,47.9,39.1,59.4
521,SPUR,2297,33.48,100.88,39.6,44.2,51.7,60.5,69.4,77.5,81.2,79.9,72.4,62.2,49.8,41.2,60.8
522,STAMFORD 1,1640,32.93,99.8,41.4,46.6,54.7,63.7,72.4,80.1,84,83,75.6,65.5,52.5,43.3,63.6
523,STEPHENVILLE 1 N,1309,32.25,98.2,42.5,47.4,55,63.2,70.9,78.2,81.9,81.4,74.8,64.9,53.2,45.1,63.2
524,STERLING CITY,2265,31.83,100.98,42.4,47.6,55.5,64.5,72.8,79.2,81.9,81,74.3,64.4,52.8,44.3,63.4
526,STILLHOUSE HOLLOW DAM,706,31.03,97.53,46.6,51.3,58.9,66.1,73.7,80.3,84,83.7,78,68.3,57.3,49.2,66.5
528,STRATFORD,3691,36.35,102.08,32.6,37.4,44.4,52.9,62,71.9,76.8,75.1,67.2,55.9,42.8,34.3,54.4
530,SUGAR LAND,82,29.62,95.63,51.8,55.1,62,68.7,76,81.5,84.1,83.8,79.3,70.8,61.4,53.8,69
531,SULPHUR SPRINGS,495,33.15,95.63,42.5,47.5,55.2,62.7,71.1,78.8,83.2,83,76.2,65.5,54,45.4,63.8
532,TAHOKA,3120,33.17,101.8,38.9,43.8,50.8,59.4,68.4,76.1,79.2,77.6,71,61.3,48.8,41.2,59.7
534,TAYLOR,565,30.57,97.42,47.5,51.8,59.6,66.3,73.9,80.2,83.6,83.5,78,68.6,57.4,49.5,66.7
538,TEMPLE,635,31.08,97.32,46.1,50.5,58,65.5,73.1,79.9,83.7,83.7,77.8,67.9,56.6,48.4,65.9
540,TEXARKANA,390,33.42,94.08,41.6,46.3,54.2,62.3,71,78.6,82.6,81.8,75,64.1,52.5,44.3,62.9
541,THOMPSONS 3 WSW,72,29.48,95.63,52.8,56,62.9,68.9,75.9,81.4,83.8,83.7,79.5,71.2,62.5,55.1,69.5
545,THROCKMORTON,1370,33.18,99.18,41.4,46.1,54.4,62.3,71.1,79.1,83.7,82.7,75.4,64.9,52.6,44,63.1
547,TILDEN 4 SSE,345,28.42,98.53,53.2,57.7,65.4,71.6,78.4,83.2,85.5,85.1,80.6,72.3,62.7,55,70.9
548,TOLEDO BEND DAM,190,31.18,93.57,46.4,49.7,57.3,63.9,72.3,78.9,82,81.4,76.4,66.3,56.3,49,65
550,TORNILLO 2 SSE,3525,31.4,106.05,43.3,49.1,55.2,62.5,70.4,78.6,80.2,78.1,72.9,62.5,50.2,43.3,62.2
552,TOWN BLUFF DAM,214,30.8,94.18,48.8,52.6,59.7,65.9,73.5,79.3,81.9,81.7,77.2,67.6,58.3,51,66.5
556,TRUSCOTT 3 W,1571,33.75,99.87,40.7,45.5,53.8,63,71.9,80.3,84.9,83.1,75.5,64.8,51.8,42.9,63.2
557,TULIA,3470,34.53,101.77,36.3,40.6,47.6,56,65.1,74.1,77.8,76.1,69.5,59,46.1,37.7,57.2
558,TURKEY,2330,34.4,100.9,38.1,43.5,50.8,60.2,68.9,77,81.3,79.5,72.2,61.7,49.1,39.9,60.2
559,TYLER,550,32.3,95.3,47.5,52.4,60.3,66.6,73.3,79.9,83.4,83.3,77.4,67.4,57.5,49.1,66.5
561,UVALDE,912,29.22,99.77,50.6,55.4,62.4,70,76.7,81.7,83.9,83.6,79.5,70.6,60,52.7,68.9
562,UVALDE 3 SW,920,29.18,99.83,50.3,54.9,62.8,69.4,76.8,82,84.3,84,79.3,70.5,59.7,51.6,68.8
563,VALENTINE,4430,30.58,104.5,43.4,48,54.1,61.6,69.7,77.2,77.2,75.6,71.3,62.5,51.3,44.4,61.4
566,VAN HORN,3955,31.05,104.83,42.7,47.3,53.7,60.8,69.6,77.5,78.3,76.5,70.8,61.8,50.8,43.2,61.1
567,VERNON,1227,34.15,99.33,38.9,44.5,52.9,61.7,71.3,79.8,84.5,83,74.9,63.8,50.8,41.3,62.3
568,VICTORIA RGNL AP               VCT,115,28.87,96.93,53.2,56.7,63.7,69.7,76.6,81.8,84.2,84.2,80.1,72.3,62.7,55.2,70
570,WACO DAM,495,31.6,97.22,45.1,49.9,57.8,65.5,73.5,80.7,84.9,84.4,78,67.5,56.1,47.7,65.9
571,WACO RGNL AP                   ACT,500,31.62,97.23,46.1,50.8,58.5,65.9,74.1,81.3,85.4,85.2,78.6,68.6,56.8,48.3,66.6
575,WASHINGTON STATE PARK,215,30.33,96.15,49.1,53.1,60.7,67.2,74.9,81,83.9,83.9,78.5,69.2,59.4,51.3,67.7
576,WATER VALLEY,2120,31.67,100.73,43,47.5,55.6,63.4,71.8,78.1,81.5,80.2,73.7,64.1,52.1,44.3,62.9
579,WAXAHACHIE,630,32.42,96.85,46,51.1,58.8,65.8,73.5,80.5,84.6,84.1,77.8,68.2,56.6,48.2,66.3
580,WEATHERFORD,955,32.75,97.77,41.6,46.7,54.6,62.7,71.1,78.8,83.3,82.7,75.4,64.8,53,44.3,63.3
581,WELDER W'LIFE FOUNDATION,50,28.1,97.42,54,58.2,64.4,70.3,76.4,81.3,83.5,83.8,80,72.5,63.9,56.2,70.4
582,WELLINGTON,2040,34.83,100.22,40.6,45.4,54,62.4,71,79.1,83.8,82.1,74.7,64.1,51.1,42.5,62.6
583,WESLACO 2 E,75,26.15,97.97,58.6,62.1,68.8,74.2,79.5,83.1,84.5,84.7,81.4,74.9,67.4,60.5,73.3
586,WHITNEY DAM,574,31.85,97.37,44.5,49.2,57.2,64.7,72.9,80,83.9,83.6,77.5,67.1,55.8,47.2,65.3
588,WICHITA FALLS SHEPPRD AP       SPS,1030,33.98,98.5,40.5,45.7,54.2,62.4,71.4,79.7,84.8,83.5,75.6,64.7,51.9,42.9,63.1
589,WILLS POINT,522,32.7,96.02,41.9,46.8,54.5,61.9,70.2,77.6,81.9,81.7,75.2,64.8,53,44.5,62.8
591,WINK WINKLER CO AP             INK,2807,31.78,103.2,43.4,48.9,56.4,64.7,73.7,81.1,83,81.5,74.9,64.9,52.4,44.4,64.1
593,WINTERS 1 NNE,1862,31.97,99.97,45,49.7,57.9,65.6,73.8,79.9,83.1,82.2,75.9,66.9,54.7,46.7,65.1
596,WRIGHT PATMAN DM & LK,282,33.3,94.17,42,47.1,55.3,62.7,70.7,78.3,82.3,81.2,74.2,63,52.5,44.6,62.8
597,YOAKUM,325,29.27,97.12,50.9,54.5,61.6,68.1,74.9,80.4,82.6,82.8,78.7,70.5,60.4,53,68.2
599,YSLETA,3670,31.7,106.32,44.9,50,56.9,64.2,73,81.8,83.6,81.3,75.4,64.9,52.9,44.7,64.5
600,ZAPATA 3 SW,320,26.88,99.3,56.2,60.8,68.8,75.9,81.9,85.6,87,87,82.6,75.1,65.8,57.7,73.7
