    1037    3.97   1.917    97.4   488.0    97.4
    1037    5.91   2.018    96.3   481.6    95.3
    1037    4.98   1.971    97.0   485.9    96.2
    1037    4.91   1.970    97.2   486.0    96.2
    1037    3.89   1.907    97.2   484.5    96.8
    1037    5.80   2.020    96.8   483.8    95.7
     440    5.99   1.933    93.4   463.2    93.0
     440    4.95   1.888    94.1   471.2    94.5
     440    3.91   1.831    94.2   469.5    94.6
     440    5.85   1.945    94.3   470.5    94.4
     440    4.71   1.873    93.9   469.5    94.1
     440    3.84   1.821    93.8   465.7    93.9
