ME  1171   2737 0
NH  1027   3353 0
VT   540   1977 0
MA  5835  19747 0
RI   975   3301 0
CT  3194  10448 0
NY 17805  56390 1
NJ  7625  27194 0
PA 11895  15624 1
OH 10778  16825 1
IN  5503   7810 0
IL 11553  27680 0
MI  9143  18837 1
WI  4784   8725 0
MN  4213   8718 0
IA  2840   4082 0
MO  5066   8703 1
ND   678    893 0
SD   708    826 0
NE  1598   2231 0
KS  2459   2509 0
DE   637   1758 0
MD  4461  10960 1
DC   625   4123 1 
VA  5798   9838 1
WV  1917   1578 0
NC  6327  11781 0
SC  3381   5599 0
GA  6101   9902 0
FL 11688  31989 0
KY  3722   3164 0
TN  4800   4770 0
AL  4051   4348 0
MS  2624   1522 0
AR  2371   1342 1
LA  4497   6828 0
OK  3300   3060 0
TX 16682  29749 0
MT   817   1676 0
ID  1003   2234 0
WY   507    763 0
CO  3265   9300 0
NM  1477   3103 0
AZ  3280   9046 0
UT  1664   1481 0  
NV   966   5298 0
WA  4461  16760 1
OR  2703   9162 1
CA 26997 130159 1
AK   531   1710 0
HI  1064   2874 0
