       1       9  0.9542       1       0    2000       4       0       1
       2       7  0.8451      26       1    3277       0       1       0
       3      20  1.3010      27       0    1600       4       0       1
       4       6  0.7782     1.1       0    2800       0       0       0
       5      50  1.6990     101       1    2413       0       1       0
       6      16  1.2041    13.1       1    2000       0       1       0
       7       5  0.6990    14.9       1    4445       0       0       0
       8     100  2.0000   134.7       1    2490       0       1       0
       9       7  0.8451       3       0    3000       0       0       1
      10      14  1.1461     5.7       0    1500       3       0       1
      11      14  1.1461     7.6       0    1500       3       0       1
      12      20  1.3010    38.6       1    2438       0       1       0
      13      10  1.0000      25       0    2540       0       0       0
      14      50  1.6990     143       1    2740       0       0       0
      15      16  1.2041      90       0    2350       2       0       0
      16      14  1.1461    27.5       0    3000       0       0       0
      17      50  1.6990     103       1    2000       0       0       0
      18     150  2.1761   115.8       1    2000       8       1       1
      19      35  1.5441    40.2       0    1000       6       1       1
      20      59  1.7709     200       0    1778       0       0       0
      21      29  1.4624      50       1    2082       0       1       1
      22      10  1.0000    49.8       1    1651       0       0       0
      23      16  1.2041   106.2       0    1657       0       1       0
      24      22  1.3424    34.6       0    1651       0       0       0
      25      67  1.8261   140.6       1    1500       6       0       1
      26     100  2.0000     140       1    1524       3       0       1
      27     100  2.0000     233       1    2000       3       0       1
      28      18  1.2553    15.4       0    4064       3       0       0
      29      70  1.8451      12       0    1200       5       1       0
